variable,bin,n_loans,n_defaults,default_rate,mean_feature_value
total_acc,"(39.0, 105.0]",15478,1682,0.10867037084894689,47.01647499676961
acc_now_delinq,"(-0.001, 5.0]",172988,21508,0.12433232362938469,0.0019307697643767198
chargeoff_within_12_mths,"(-0.001, 5.0]",172932,21502,0.12433789003770268,0.0041056600282191845
chargeoff_within_12_mths,Missing,56,6,0.10714285714285714,
collections_12_mths_ex_med,"(-0.001, 4.0]",172932,21502,0.12433789003770268,0.002619526750399001
collections_12_mths_ex_med,Missing,56,6,0.10714285714285714,
pub_rec_bankruptcies,"(-0.001, 8.0]",172291,21390,0.12415041992907348,0.08061941714889344
pub_rec_bankruptcies,Missing,697,118,0.16929698708751795,
tax_liens,"(-0.001, 53.0]",172949,21507,0.1243545785173664,0.01196306425593672
tax_liens,Missing,39,1,0.02564102564102564,
fico_score,"(626.999, 667.0]",22595,4040,0.17880061960610755,664.6211551228148
fico_score,"(667.0, 672.0]",12905,2186,0.169391708640062,672.0
fico_score,"(672.0, 682.0]",25763,3862,0.14990490237938128,679.5589023017505
fico_score,"(682.0, 687.0]",12296,1724,0.1402081977878985,687.0
fico_score,"(687.0, 697.0]",23511,3079,0.1309599761813619,694.3814384756072
fico_score,"(697.0, 702.0]",10342,1164,0.11255076387545929,702.0
fico_score,"(702.0, 712.0]",17135,1845,0.10767435074409104,709.2824627954479
fico_score,"(712.0, 727.0]",18254,1693,0.09274679522296483,721.4403966253972
fico_score,"(727.0, 747.0]",13813,1061,0.07681169912401362,738.5760515456454
fico_score,"(747.0, 847.5]",16374,854,0.052155856846219616,774.1184805178942
credit_history_months,"(35.999, 83.0]",17679,2749,0.1554952203178913,65.94677300752305
credit_history_months,"(83.0, 110.0]",17213,2285,0.13274850403764596,97.26299889618312
credit_history_months,"(110.0, 131.0]",17526,2361,0.13471413899349538,121.69639392901975
credit_history_months,"(131.0, 147.0]",17304,2255,0.1303166897827092,139.70082061950993
credit_history_months,"(147.0, 163.0]",17233,2168,0.12580514129867115,155.35646724308015
credit_history_months,"(163.0, 182.0]",17306,2165,0.12510112099849763,172.55333410377904
credit_history_months,"(182.0, 207.0]",17292,2035,0.11768447837150127,194.67493638676845
credit_history_months,"(207.0, 239.0]",17129,1850,0.10800396987564949,222.365578842898
credit_history_months,"(239.0, 295.0]",17083,1834,0.10735819235497278,265.7015161271439
credit_history_months,"(295.0, 785.0]",17223,1806,0.10485978052604077,363.6889043720606
emp_length_years,"(0.499, 1.0]",26215,3285,0.12530993705893573,0.726473393095556
emp_length_years,"(1.0, 2.0]",16311,2021,0.12390411378824107,2.0
emp_length_years,"(2.0, 3.0]",14240,1762,0.12373595505617978,3.0
emp_length_years,"(3.0, 4.0]",11175,1360,0.12170022371364653,4.0
emp_length_years,"(4.0, 6.0]",24248,3041,0.12541240514681623,5.445315077532167
emp_length_years,"(6.0, 7.0]",9702,1248,0.12863327149041434,7.0
emp_length_years,"(7.0, 9.0]",14014,1720,0.12273440844869417,8.441487084344228
emp_length_years,"(9.0, 10.0]",49550,5703,0.11509586276488395,10.0
emp_length_years,Missing,7533,1368,0.1816009557945042,
