dataset_split,start_date,end_date,n_loans,n_defaults,default_rate,mean_loan_amount,share_loans
train,2007-06,2013-12,172988,21508,0.12433232362938469,11902.598301616297,0.2796515913764339
validation,2014-01,2014-12,162570,22315,0.13726394783785445,12585.59851141047,0.2628099013230216
test,2015-01,2015-12,283026,42132,0.14886264866125373,12805.540127055465,0.45753850730054446
