métrique,Train,Validation,Test avant calibration,Test après calibration
AUC,0.638913686000073,0.631813332415487,0.6300061241344961,0.6300061241344961
Gini,0.27782737200014607,0.26362666483097397,0.26001224826899216,0.26001224826899216
KS,0.202604811867032,0.19027602911386726,0.18850128259416815,0.18850128259416815
Brier score,,,0.12381491286239352,0.12391699667861239
