split,n_loans,n_defaults,default_rate,portfolio_share
Train,172988,21508,0.12433232362938469,0.2796515913764339
Validation,162570,22315,0.13726394783785445,0.2628099013230216
Test,283026,42132,0.14886264866125373,0.45753850730054446
