modèle,AUC_test,Gini_test,KS_test,AUC_PR_test,Brier_test,PSI_score_train_test,version_probabilites,décision
Scorecard logistique WoE V1,0.6300061241344961,0.2600122482689921,0.1885012825941681,0.2125621380270458,0.1238149128623935,0.0131088071149265,Initiale,Référence interprétable / challenger
XGBoost M06 — PD recalibrées,0.6421420299754155,0.2842840599508309,0.2024021932428731,0.2235817271780958,0.1228697597980499,0.0145758199740826,Platt scaling sur validation 2014,Retenu pour performance prédictive
