version,split,n_prets,taux_defaut,AUC_ROC,Gini,AUC_PR,KS,seuil_KS,FPR_au_KS,TPR_au_KS,Brier
XGBoost brut,Validation,162570,0.13726394783785445,0.6441333447792545,0.2882666895585091,0.21029494714653346,0.20695733826833912,0.517241358757019,0.4249046379808206,0.6318619762491597,0.24313925206661224
XGBoost calibré,Validation calibrée,162570,0.13726394783785445,0.644133344140234,0.2882666882804681,0.2102949466076955,0.20695733826833912,0.13972608745098114,0.4249046379808206,0.6318619762491597,0.11481714993715286
XGBoost brut,Test,283026,0.14886264866125373,0.6421420305665866,0.28428406113317317,0.22358172773452256,0.20240219324287317,0.5009932518005371,0.4686791700914095,0.6710813633342827,0.24196219444274902
XGBoost calibré,Test calibré,283026,0.14886264866125373,0.6421420299754155,0.28428405995083095,0.22358172717809588,0.20240219324287317,0.13066859543323517,0.4686791700914095,0.6710813633342827,0.12286975979804993
