modèle,AUC_test,Gini_test,KS_test,AUC_PR_test,Brier_test,PSI_score_train_test,version_probabilites
Scorecard logistique WoE V1,0.6300061241344961,0.2600122482689921,0.1885012825941681,0.2125621380270458,0.1238149128623935,0.0131088071149265,Initiale
XGBoost M06 — PD recalibrées,0.6421420299754155,0.28428405995083095,0.20240219324287317,0.22358172717809588,0.12286975979804993,0.014575819974082634,Platt scaling sur validation 2014
